Order_ID,Customer_ID,Customer_Name,Email,Phone,Age,Gender,City,State,Country,ZIP_Code,Product_Category,Product_Name,SKU,Quantity,Unit_Price,Discount_%,Total_Amount,Order_Date,Ship_Date,Delivery_Date,Payment_Method,Order_Status,Sales_Rep,Department,Rating,Return_Reason,Is_Repeat_Customer,Loyalty_Points,Notes
ORD-10031,CUST-4688,Priya Williams,priya.williams17@hotmail.com,+91-7881351238,21.0,male,Birmingham,Pennsylvania,USA,161716,,Unknown Item,SKU-3129,3,33155.3,,99465.9,2023-07-20,2023-07-22,2023-07-30,Debit Card,Returned,Pradeep Kumar,,1.0,Not as described,True,211.0,Urgent delivery
ORD-10109,CUST-4243,David Chopra,david.chopra64@outlook.com,+91-7076317824,49.0,F,Chicago,West Bengal,India,329394,Books,Novel,SKU-9328,15,22237.23,,333558.45,2024-02-15,2024-02-19,2024-02-21,COD,Returned,Sunita Singh,International,1.0,,,444.0,Express shipping needed
ORD-10136,CUST-2721,Amanda Jones,amanda.jones37@yahoo.com,+91-8882985094,19.0,Male,Chennai,Pennsylvania,UK,399438,Food & Beverage,Snack Box,SKU-8597,11,1018.8,0.0,-11206.8,2023-07-12,2023-07-18,2023-07-22,UPI,Pending,Amit Verma,East Zone,,Wrong item,False,,
ORD-10088,CUST-1264,Aarav Williams,aarav.williams52@yahoo.com,+91-9707107352,21.0,Female,New York,,India,858611,Electronics,Smart Watch,SKU-3110,4,23129.06,0.0,92516.24,2024-07-15,2024-07-20,2024-07-24,debit card,Delivered,Alice Brown,North Zone,,Defective,Yes,,
ORD-10918,CUST-3103,Maria Brown,maria.brown42@company.in,+91-8228346162,,M,Los Angeles,Telangana,Germany,,,Unknown Item,SKU-3451,11,45851.84,10.0,453933.22,2023-04-12,2023-04-17,2023-04-27,UPI,Pending,Neha Sharma,North Zone,4.0,Not as described,Yes,3114.0,
ORD-10365,CUST-1926,James Davis,james.davis19@company.in,+91-7352998979,32.0,Female,London,West Bengal,India,325734,Sports,Gym Gloves,SKU-6384,16,24665.45,,394647.2,2024-01-19,2024-01-24,2024-01-26,debit card,Pending,Carol Williams,International,,,No,2185.0,Urgent delivery
ORD-10870,CUST-2872,Aarav Williams,aarav.williams87@gmail.com,+91-7166098686,,male,Houston,Gujarat,France,181536,Electronics,Keyboard,SKU-2876,14,32183.58,25.0,337927.59,2022-08-02,2022-08-06,2022-08-07,Debit Card,Cancelled,Raj Patel,International,1.0,Wrong item,No,1946.0,Express shipping needed
ORD-10318,CUST-2724,Ashley Miller,ashley.miller53@company.in,+91-9860030122,26.0,FEMALE,Houston,Karnataka,USA,528206,Toys,Science Kit,SKU-4245,8,22475.95,20.0,143846.08,2022-06-06,2022-06-09,2022-06-19,UPI,Shipped,Carol Williams,North Zone,2.0,Not as described,True,4543.0,
ORD-10261,CUST-3144,Maria Davis,maria.davis32@company.in,+91-9839721175,62.0,Male,London,California,UK,394880,,Unknown Item,SKU-3184,7,45548.78,0.0,318841.46,2022-09-13,2022-09-17,,CREDIT CARD,Returned,Alice Brown,North Zone,5.0,,Yes,3057.0,Gift wrap
ORD-10535,CUST-3808,Aarav Patel,aarav.patel29@gmail.com,+91-7305104430,55.0,Male,New York,New York,India,,Electronics,Speaker,SKU-5891,15,22873.06,15.0,291631.52,2023-12-07,2023-12-13,2023-12-17,credit card,Cancelled,,North Zone,,Not as described,No,4349.0,Express shipping needed
